Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
09/2023,"OIYA BESOK SENIN pengen nyobain point coffee pas promo tapi lupa terus, thanks sender wkwk",oiya besok senin pengen nyobain point coffee pas promo tapi lupa terus thanks sender wkwk,oiya besok senin pengen nyobain point coffee pas promo tapi lupa terus terima kasih sender wkwk
09/2023,"Sama kayak indomaret point, jualan popmie tapi ga ada air panas. Minta ke point coffee juga ga boleh. Akhirnya pesen americano panas ga pake gula dan kopi buat nyeduh popmie",sama kayak indomaret point jualan popmie tapi ga ada air panas minta ke point coffee juga ga boleh akhirnya pesen americano panas ga pake gula dan kopi buat nyeduh popmie,sama kayak indomaret point jualan popmie tapi tidak ada air panas minta ke point coffee juga tidak boleh akhirnya pesen americano panas tidak pakai gula dan kopi buat nyeduh popmie
09/2023,PENGEN BELI tapi yang ada point coffee nya lagi renov jadinya tutup(â ä¸ªâ _â ä¸ªâ ),pengen beli tapi yang ada point coffee nya lagi renov jadinya tutup    ,pengen beli tapi yang ada point coffee nya lagi renovasi jadinya tutup
09/2023,bukan fore asli wuakaka matcha latte bikin sendiri gelasnya bekas fore biar oke xixi + foto di kebon,bukan fore asli wuakaka matcha latte bikin sendiri gelasnya bekas fore biar oke xixi  foto di kebon,bukan fore asli wuakaka matcha latte bikin sendiri gelasnya bekas fore biar oke xixi foto di kebon
09/2023,Cup coffee sing koyok ngene selain fore ndi neh yaa Aku di kei info mbok an,cup coffee sing koyok ngene selain fore ndi neh yaa aku di kei info mbok an,cup coffee sing koyok ngene selain fore ndi neh yaa aku di kei informasi mbok an
09/2023,Samaa tomoro,samaa tomoro,samaa tomoro
09/2023,rating tomoro coffe menurut kalian brpa ?,rating tomoro coffe menurut kalian brpa ,rating tomoro coffe menurut kalian brpa
09/2023,"Kebetulan sm nih, di tomoro",kebetulan sm nih di tomoro,kebetulan sama ini di tomoro
09/2023,"Ituu kayaknya khusus beli minuman fore junior deh nder, aku pernah dapet stikernyaa",ituu kayaknya khusus beli minuman fore junior deh nder aku pernah dapet stikernyaa,ituu kayaknya khusus beli minuman fore junior deh nder aku pernah dapat stikernyaa
09/2023,Duh jadi pengen tomoro,duh jadi pengen tomoro,aduh jadi pengen tomoro
09/2023,Pgn coba tomoro ih jadinya,pgn coba tomoro ih jadinya,ingin coba tomoro ih jadinya
09/2023,niih ndeer. kopi kenangan :)),niih ndeer kopi kenangan ,niih ndeer kopi kenangan
